"layer","signal_group","category","match_type","keyword_or_pattern","polarity","priority","notes"
"layer_2","non_job_negative","forum_or_discussion","regex","\bsubject:","negative","medium","Email/forum marker."
"layer_2","non_job_negative","forum_or_discussion","regex","\bwrites:","negative","high","Forum quote marker."
"layer_2","non_job_negative","forum_or_discussion","regex",">>>>>","negative","high","Forum quote marker."
"layer_2","non_job_negative","technical_or_general","regex","\bapi documentation\b","negative","high","Technical documentation, not job posting."
"layer_2","non_job_negative","technical_or_general","regex","\bavailable program\b","negative","high","Software request, not hiring."
"layer_2","non_job_negative","technical_or_general","regex","\bfor sale\b","negative","medium","Marketplace text, not hiring."
"layer_2","non_job_negative","technical_or_general","regex","\bi am looking for (?:an? )?(?:available )?(?:program|paper|papers|server|servers|utility|source of information)\b","negative","high","Forum information request, not hiring."
"layer_2","non_job_negative","technical_or_general","regex","\bi'm looking for (?:an? )?(?:available )?(?:program|paper|papers|server|servers|utility|source of information)\b","negative","high","Forum information request, not hiring."
"layer_2","non_job_negative","technical_or_general","regex","\bmatrix multiplication\b","negative","high","Technical explanation, not hiring."
"layer_2","non_job_negative","technical_or_general","regex","\bpublic domain or shareware\b","negative","high","Software request, not hiring."
"layer_2","non_job_negative","technical_or_general","regex","\brecipe\b","negative","medium","Recipe/food content, not hiring."
"layer_2","non_job_negative","technical_or_general","regex","\brelease notes\b","negative","high","Software documentation, not hiring."
"layer_2","non_job_negative","technical_or_general","regex","\bsales brochure\b","negative","medium","Marketing collateral context, not hiring."
"layer_2","non_job_negative","technical_or_general","regex","\bsoftware for sale\b","negative","high","Marketplace/technical content, not hiring."
"layer_2","non_job_negative","technical_or_general","regex","\bsource code\b","negative","high","Code request/content, not hiring."
"layer_2","non_job_negative","technical_or_general","regex","\btablespoon\b","negative","medium","Recipe content, not hiring."
"layer_2","non_job_negative","technical_or_general","regex","\btutorial\b","negative","medium","Educational content, not hiring."
"layer_2","non_job_negative","news_or_article","regex","\b(?:afp|ap|reuters)\s+-\b","negative","high","Newswire source marker."
"layer_2","non_job_negative","news_or_article","regex","\b(?:gaza|iraq|iran|israel|palestinian|sudan|darfur)\b","negative","medium","Geopolitical/news topic."
"layer_2","non_job_negative","news_or_article","regex","\b(?:missiles?|militants?|war|ceasefire|attack|attacks|killed|kills|troops|army)\b","negative","medium","Conflict/news topic."
"layer_2","non_job_negative","news_or_article","regex","\b(?:court|judge|deported|trial|lawsuit|police|arrested|charged)\b","negative","medium","Legal/news topic."
"layer_2","non_job_negative","news_or_article","regex","\b(?:foreign minister|prime minister|secretary of state|high commissioner|un official)\b","negative","high","Political/news title."
"layer_2","non_job_negative","news_or_article","regex","\b(?:dow jones|nasdaq|s&p|wall street|stock|stocks|shares|quarterly earnings|profit forecast)\b","negative","medium","Finance/news topic."
"layer_2","non_job_negative","news_or_article","regex","\b(?:laboratory researchers|electron microscope|spacecraft|nasa|jet propulsion|scientists discovered)\b","negative","medium","Science/news topic."
"layer_2","non_job_negative","news_or_article","regex","\b(?:security update|software patch|critical patch|monthly security)\b","negative","medium","Technology news topic."
"layer_2","non_job_negative","news_or_article","regex","\b(?:world cup|giant slalom|coach|players|season|victory|match|game|tournament|league|championship|scored|wins|defeats)\b","negative","medium","Sports/news topic."
"layer_2","non_job_negative","news_or_article","regex","\b(?:aussies|cricket|edgbaston|gilchrist|wicket|innings|nets centre)\b","negative","medium","Cricket/sports-news topic."
"layer_2","non_job_negative","news_or_article","regex","\b(?:movie|film|screenplay|box office|actor|actress|director said|album|concert)\b","negative","medium","Entertainment/news topic."
"layer_2","non_job_negative","technical_or_general","regex","\b(?:ingredients|bake|oven|butter|sugar|flour|teaspoon|tablespoons)\b","negative","medium","Recipe/food content."
"layer_2","non_job_negative","technical_or_general","regex","\b(?:itinerary|sightseeing|hotel|restaurant|tourist|travel guide|vacation)\b","negative","medium","Travel content."
"layer_2","non_job_negative","technical_or_general","regex","\b(?:function|class|algorithm|compile|runtime error|stack trace|github|pull request)\b","negative","medium","Programming/code content."
"layer_2","non_job_negative","technical_or_general","regex","\b(?:homework|essay|thesis|bibliography|abstract|methodology|literature review)\b","negative","medium","Academic writing content."
"layer_2","non_job_negative","technical_or_general","regex","\b(?:product review|customer review|shipping|discount|shopping cart|buy now)\b","negative","medium","Shopping/review content."
"layer_2","non_job_negative","news_or_article","regex","\b(?:breaking news|latest news|press release|news agency|correspondent|headline)\b","negative","high","Generic news/article marker."
"layer_2","non_job_negative","news_or_article","regex","\b(?:senate|congress|white house|supreme court|lawmakers|governor|mayor|diplomat)\b","negative","medium","Politics/government news topic."
"layer_2","non_job_negative","news_or_article","regex","\b(?:campaign trail|polls showed|voters|ballot|referendum|nominee|presidential candidate)\b","negative","medium","Election/news topic."
"layer_2","non_job_negative","news_or_article","regex","\b(?:earthquake|hurricane|typhoon|wildfire|floods?|landslide|evacuation|storm warning)\b","negative","medium","Disaster/weather news topic."
"layer_2","non_job_negative","news_or_article","regex","\b(?:forecast|temperature|rainfall|snowstorm|heatwave|cold front|weather service)\b","negative","medium","Weather report topic."
"layer_2","non_job_negative","news_or_article","regex","\b(?:crude oil|interest rates?|inflation|bond yields?|central bank|federal reserve|currency markets?)\b","negative","medium","Macroeconomic/market news topic."
"layer_2","non_job_negative","news_or_article","regex","\b(?:merger|acquisition|antitrust|shareholders?|earnings report|revenue forecast)\b","negative","medium","Corporate/finance news topic."
"layer_2","non_job_negative","news_or_article","regex","\b(?:clinical trial|vaccine|virus|disease outbreak|patients?|doctors said|medical journal)\b","negative","medium","Medical/health news topic."
"layer_2","non_job_negative","news_or_article","regex","\b(?:study finds|researchers found|scientists say|published in the journal|peer-reviewed)\b","negative","medium","Science/research news topic."
"layer_2","non_job_negative","news_or_article","regex","\b(?:final score|halftime|playoffs?|quarterback|striker|goalkeeper|grand slam|olympics)\b","negative","medium","Sports report topic."
"layer_2","non_job_negative","news_or_article","regex","\b(?:red carpet|celebrity|box-office|film festival|movie review|season finale|tv series)\b","negative","medium","Entertainment article topic."
"layer_2","non_job_negative","technical_or_general","regex","\b(?:step-by-step guide|how to install|configuration file|command line|terminal output)\b","negative","medium","Technical guide/documentation content."
"layer_2","non_job_negative","technical_or_general","regex","\b(?:syntax error|exception traceback|segmentation fault|null pointer|unit test failed)\b","negative","medium","Programming/debugging content."
"layer_2","non_job_negative","technical_or_general","regex","\b(?:docker container|kubernetes cluster|npm install|pip install|database schema|sql query)\b","negative","medium","Software engineering content."
"layer_2","non_job_negative","technical_or_general","regex","\b(?:privacy policy|terms of service|cookie policy|end user license agreement|all rights reserved)\b","negative","high","Legal/site policy content."
"layer_2","non_job_negative","technical_or_general","regex","\b(?:lease agreement|non-disclosure agreement|contract clause|whereas|hereinafter)\b","negative","medium","Legal/contract content."
"layer_2","non_job_negative","technical_or_general","regex","\b(?:symptoms|diagnosis|treatment|dosage|side effects|consult your doctor)\b","negative","medium","Medical advice/content."
"layer_2","non_job_negative","technical_or_general","regex","\b(?:calories|nutrition facts|serving size|preheat|simmer|chopped onions|garlic cloves)\b","negative","medium","Recipe/nutrition content."
"layer_2","non_job_negative","technical_or_general","regex","\b(?:hotel review|flight itinerary|boarding pass|airport terminal|museum tickets|travel insurance)\b","negative","medium","Travel/booking content."
"layer_2","non_job_negative","technical_or_general","regex","\b(?:return policy|warranty|product specifications|add to cart|coupon code|free shipping)\b","negative","medium","E-commerce/product content."
"layer_2","non_job_negative","technical_or_general","regex","\b(?:chapter summary|plot summary|character analysis|poem analysis|citation style|works cited)\b","negative","medium","Literature/academic content."
"layer_2","non_job_negative","technical_or_general","regex","\b(?:world war|ancient rome|historical overview|timeline of events|biography of)\b","negative","medium","History/encyclopedia content."
"layer_2","non_job_negative","technical_or_general","regex","\b(?:lesson plan|quiz questions|multiple choice|answer key|classroom activity)\b","negative","medium","Education/classroom content."
"layer_2","non_job_negative","technical_or_general","regex","\b(?:song lyrics|music video|album review|guitar chords|piano sheet music)\b","negative","medium","Music/lyrics content."
"layer_2","non_job_negative","technical_or_general","regex","\b(?:game walkthrough|cheat codes|boss fight|level up|patch notes)\b","negative","medium","Gaming content."
